doc_id,dataset,split,role,n_draws_small,n_draws_large,gap_single,f1_small_mean,f1_large_mean,f1_small_std,f1_large_std,gap_denoised,label_single,label_denoised,label_changed
receipt_00289,cord,train,flippable,6,6,0.0556,0.4222,0.5,0.0222,0.0,0.0778,1,1,False
receipt_00459,cord,train,flippable,6,6,0.0882,0.6494,0.7333,0.0216,0.0,0.0839,1,1,False
receipt_00710,cord,train,flippable,6,6,-0.01,0.0841,0.0769,0.0041,0.0,-0.0072,0,0,False
receipt_00099,cord,test,flippable,6,6,-0.0765,0.2098,0.1304,0.0219,0.0,-0.0793,0,0,False
receipt_00603,cord,train,flippable,6,6,-0.0309,0.5701,0.5405,0.0197,0.0,-0.0296,0,0,False
receipt_00601,cord,train,flippable,6,6,-0.0119,0.6544,0.6521,0.0194,0.0181,-0.0023,0,0,False
receipt_00181,cord,train,flippable,6,6,-0.0954,0.4677,0.3846,0.1091,0.0,-0.0831,0,0,False
receipt_00103,cord,train,flippable,6,6,-0.0199,0.5966,0.5778,0.0061,0.0,-0.0188,0,0,False
receipt_00400,cord,train,flippable,6,6,-0.0263,0.489,0.4737,0.0118,0.0,-0.0153,0,0,False
receipt_00179,cord,train,flippable,6,6,-0.0364,0.3697,0.3636,0.0136,0.0,-0.0061,0,0,False
receipt_00567,cord,train,flippable,6,6,-0.003,0.3775,0.4658,0.0374,0.1422,0.0882,0,1,True
receipt_00607,cord,train,flippable,6,6,-0.0591,0.3448,0.2857,0.0,0.0,-0.0591,0,0,False
receipt_00666,cord,train,flippable,6,6,-0.0254,0.6006,0.5833,0.0181,0.0,-0.0172,0,0,False
receipt_00664,cord,train,flippable,6,6,-0.0385,0.5,0.4615,0.0,0.0,-0.0385,0,0,False
receipt_00588,cord,train,flippable,6,6,-0.0529,0.4695,0.4598,0.0108,0.0325,-0.0098,0,0,False
receipt_00564,cord,train,flippable,6,6,-0.0133,0.3333,0.3222,0.0,0.005,-0.0111,0,0,False
receipt_00316,cord,train,flippable,6,6,-0.0018,0.6763,0.6871,0.0137,0.0152,0.0107,0,0,False
receipt_00380,cord,train,flippable,6,6,-0.0936,0.3158,0.2222,0.0,0.0,-0.0936,0,0,False
receipt_00586,cord,train,flippable,6,6,-0.0267,0.641,0.64,0.0256,0.0,-0.001,0,0,False
receipt_00418,cord,train,flippable,6,6,-0.0199,0.8442,0.8372,0.0184,0.0,-0.0069,0,0,False
receipt_00516,cord,train,flippable,6,6,-0.0135,0.4907,0.4885,0.0207,0.0203,-0.0023,0,0,False
receipt_00088,cord,train,flippable,6,6,-0.0307,0.3732,0.4163,0.0701,0.0055,0.0431,0,1,True
receipt_00321,cord,train,flippable,6,6,-0.0394,0.8801,0.8571,0.0177,0.0,-0.0229,0,0,False
receipt_00002,cord,train,flippable,6,6,-0.0693,0.4656,0.4661,0.0345,0.0258,0.0005,0,0,False
receipt_00390,cord,train,flippable,6,6,-0.0303,0.3874,0.4342,0.0335,0.0785,0.0468,0,1,True
receipt_00475,cord,train,flippable,6,6,-0.0013,0.7108,0.7083,0.0106,0.0,-0.0024,0,0,False
receipt_00129,cord,train,flippable,6,6,-0.0157,0.1297,0.1176,0.0092,0.0,-0.012,0,0,False
receipt_00030,cord,train,flippable,6,6,-0.0105,0.2053,0.2385,0.0053,0.0388,0.0333,0,1,True
receipt_00145,cord,train,control,6,6,0.2333,0.2889,0.5,0.0497,0.0,0.2111,1,1,False
X51007846325,sroie,train,control,6,6,0.25,0.75,1.0,0.0,0.0,0.25,1,1,False
receipt_00149,cord,train,control,6,6,0.1946,0.4164,0.5107,0.1023,0.0031,0.0942,1,1,False
X51006388066,sroie,train,control,6,6,0.25,0.7917,1.0,0.0932,0.0,0.2083,1,1,False
receipt_00759,cord,train,control,6,6,0.1401,0.5296,0.6786,0.0231,0.0,0.149,1,1,False
receipt_00746,cord,train,control,6,6,0.25,0.1238,0.375,0.0027,0.0,0.2512,1,1,False
X51006556828,sroie,train,control,6,6,0.25,0.75,0.7917,0.0,0.0932,0.0417,1,1,False
receipt_00153,cord,train,control,6,6,-0.2667,0.3677,0.3333,0.1223,0.0,-0.0343,0,0,False
receipt_00343,cord,train,control,6,6,0.1818,0.4929,0.6667,0.0181,0.0,0.1737,1,1,False
X51005663309,sroie,test,control,6,6,0.25,0.75,1.0,0.0,0.0,0.25,1,1,False
