f1_small,f1_large,gap,cost,cached,doc_id,dataset,split,tokens,pages,ocr_conf,low_conf_ratio,ocr_std,ocr_stage,blur_score,image_contrast,skew_angle,estimated_dpi,is_grayscale,short_token_ratio,inv_chars_per_word,word_height_cv,crowded_line_frac,line_density,section_count,label_diversity,label_entropy,item_density,aspect_ratio
1.0,1.0,0.0,0.014117000000000001,False,nf3459,poie,train,41,1,70.25,0.235,27.5,0,4375.7,0.2737,1.0,29.5,False,0.0,0.1722689075630252,0.11498034135874621,0.8571428571428571,33.49282296650718,0.0,0.0,0.0,0.17073170731707318,0.4274028629856851
1.0,1.0,0.0,0.013904,False,nf2082,poie,train,37,1,43.89,0.694,30.8,0,2187.7,0.1235,1.0,40.6,False,0.0,0.13405797101449274,0.3637119543997322,0.0625,55.55555555555556,0.0,0.0,0.0,0.43243243243243246,1.3584905660377358
0.5806451612903226,0.5806451612903226,0.0,0.017595,False,nf2895,poie,train,56,1,68.04,0.333,25.3,0,1608.4,0.2419,-2.0,254.1,False,0.0,0.1830065359477124,0.3140078626224356,0.4117647058823529,9.439200444197668,0.0,0.0,0.0,0.30357142857142855,1.311726147123088
1.0,1.0,0.0,0.013833999999999999,False,nf2357,poie,train,38,1,93.67,0.0,3.6,0,7985.1,0.2599,1.0,65.1,False,0.0,0.13620071684587814,0.13968956475299213,0.0625,34.70715835140998,0.0,0.0,0.0,0.42105263157894735,1.5164473684210527
1.0,1.0,0.0,0.014135,False,nf2008,poie,train,36,1,81.0,0.088,23.6,0,2876.1,0.1982,1.0,82.3,False,0.0,0.13688212927756654,0.19900571054833813,0.06666666666666667,25.728987993138936,0.0,0.0,0.0,0.4166666666666667,0.9765494137353434
1.0,1.0,0.0,0.014287,False,nf1413,poie,train,36,1,75.83,0.222,22.5,0,4716.4,0.1748,-1.0,43.0,False,0.0,0.13584905660377358,0.3043633024963989,0.06666666666666667,49.18032786885246,0.0,0.0,0.0,0.4166666666666667,1.1338289962825279
0.7058823529411765,1.0,0.2941176470588235,0.013488,False,nf1206,poie,train,22,1,30.31,0.863,22.3,0,567.2,0.2104,-1.0,193.9,False,0.0,0.15384615384615385,0.3311604497386518,0.0,8.005822416302765,0.0,0.0,0.0,0.5,1.148829431438127
0.9473684210526316,0.9473684210526316,0.0,0.014164000000000001,False,nf3440,poie,train,31,1,77.16,0.228,26.2,0,294.8,0.2815,1.0,253.3,False,0.0,0.1341991341991342,0.2743825750889866,0.07692307692307693,7.242339832869081,0.0,0.0,0.0,0.41935483870967744,1.1339229311433987
1.0,1.0,0.0,0.014343,False,nf1931,poie,train,59,1,89.79,0.035,13.3,0,2800.8,0.3238,1.0,161.6,False,0.0,0.1524547803617571,0.2050756887139846,0.2727272727272727,19.213973799126638,0.0,0.0,0.0,0.3728813559322034,1.4870129870129871
1.0,1.0,0.0,0.013441999999999999,False,nf0466,poie,train,33,1,59.77,0.419,27.3,0,6519.8,0.2695,-1.0,44.9,False,0.0,0.152073732718894,0.2167415581344436,0.07142857142857142,44.0251572327044,0.0,0.0,0.0,0.42424242424242425,1.394736842105263
1.0,1.0,0.0,0.014062,False,nf2007,poie,train,57,1,83.61,0.127,20.8,0,2738.6,0.292,-2.0,103.4,False,0.0,0.16379310344827586,0.17908537062971078,0.7272727272727273,15.006821282401091,0.0,0.0,0.0,0.19298245614035087,0.44209891435464416
1.0,1.0,0.0,0.013909000000000001,False,nf0030,poie,train,41,1,27.8,0.92,18.7,0,8462.1,0.2282,-1.0,28.1,False,0.0,0.13141025641025642,0.2997875153632949,0.05555555555555555,90.45226130653266,0.0,0.0,0.0,0.43902439024390244,1.5546875
0.9473684210526316,1.0,0.05263157894736836,0.01466,False,nf1889,poie,train,45,1,90.22,0.047,17.3,0,3046.4,0.3247,1.0,168.5,False,0.0,0.14516129032258063,0.1635168799197973,0.17647058823529413,14.23785594639866,0.0,0.0,0.0,0.37777777777777777,1.7481698389458273
0.9,0.9,0.0,0.015421999999999998,False,nf2476,poie,train,64,1,47.53,0.602,31.4,0,668.7,0.2392,-7.0,220.1,False,0.0,0.11657559198542805,0.4701460839770455,0.6923076923076923,8.333333333333334,0.0,0.0,0.0,0.203125,0.7289719626168224
1.0,1.0,0.0,0.013518,False,nf3718,poie,train,28,1,68.5,0.312,26.8,0,7848.6,0.2531,-1.0,42.1,False,0.0,0.1407035175879397,0.21966312625966536,0.07692307692307693,43.624161073825505,0.0,0.0,0.0,0.4642857142857143,1.2113821138211383
1.0,1.0,0.0,0.013796,False,nf2753,poie,train,40,1,49.18,0.618,31.5,0,6229.5,0.2116,8.0,50.4,False,0.0,0.149812734082397,0.5561319850083343,0.0625,44.81792717086835,0.0,0.0,0.0,0.4,1.4110671936758894
0.9473684210526316,1.0,0.05263157894736836,0.014276,False,nf0061,poie,train,41,1,63.69,0.414,35.4,0,1105.9,0.2656,-1.0,58.8,False,0.0,0.12693498452012383,0.18497416621214433,0.8,23.980815347721823,0.0,0.0,0.0,0.24390243902439024,0.38468634686346864
1.0,1.0,0.0,0.013734,False,nf0836,poie,train,35,1,75.08,0.226,24.7,0,10187.4,0.2494,-1.0,43.0,False,0.0,0.13671875,0.12285953040499194,0.06666666666666667,49.18032786885246,0.0,0.0,0.0,0.42857142857142855,1.5024630541871922
1.0,1.0,0.0,0.013297,False,nf1279,poie,train,22,1,61.86,0.372,32.9,0,4346.2,0.1745,2.0,41.6,False,0.0,0.1286549707602339,0.49487711014119085,0.0,37.28813559322034,0.0,0.0,0.0,0.5,1.1752988047808766
0.7777777777777778,1.0,0.2222222222222222,0.013846,False,nf1397,poie,train,45,1,78.57,0.185,26.8,0,6048.3,0.2844,-1.0,45.9,False,0.022222222222222223,0.17509727626459143,0.2617190462181614,0.8,30.769230769230766,0.0,0.0,0.0,0.2222222222222222,0.36806342015855037
0.8421052631578948,0.9,0.05789473684210522,0.014289,False,nf0393,poie,train,42,1,56.98,0.54,30.1,0,1541.0,0.191,-2.0,54.6,False,0.0,0.1320754716981132,0.2024295207909566,0.6666666666666666,23.25581395348837,0.0,0.0,0.0,0.21428571428571427,0.38738738738738737
1.0,1.0,0.0,0.013699,False,nf1436,poie,train,22,1,76.23,0.231,28.8,0,236.0,0.1079,-10.0,137.9,False,0.0,0.1375,0.2270966223606133,0.0,11.258955987717503,0.0,0.0,0.0,0.5,1.0904017857142858
1.0,1.0,0.0,0.013757,False,nf2089,poie,train,35,1,37.56,0.92,24.4,0,7038.7,0.185,2.0,38.2,False,0.0,0.1383399209486166,0.136286957151568,0.06666666666666667,55.35055350553505,0.0,0.0,0.0,0.42857142857142855,1.7712418300653594
0.9473684210526316,1.0,0.05263157894736836,0.014102,False,nf0321,poie,train,51,1,63.13,0.444,28.5,0,7748.9,0.2838,-1.0,42.2,False,0.0,0.17406143344709898,0.19907676937838611,1.0,30.100334448160535,0.0,0.0,0.0,0.17647058823529413,0.5310834813499112
0.4761904761904762,1.0,0.5238095238095237,0.014176000000000001,False,nf0599,poie,train,53,1,34.83,0.81,24.1,0,9001.1,0.2499,-2.0,23.4,False,0.0,0.18339100346020762,0.25831949073264954,0.8,60.24096385542168,0.0,0.0,0.0,0.18867924528301888,0.6887966804979253
